Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2016-05-23 13:03:26.707 -0600,"Success",0:00:00,0,0,0,"20160523_130326.707/LogFile.txt","","",1
2016-05-23 13:03:30.578 -0600,"Success",0:00:00,0,0,0,"20160523_130330.578/LogFile.txt","","",1
2016-05-23 13:03:38.807 -0600,"Success",0:00:00,0,0,0,"20160523_130338.807/LogFile.txt","","",1
2016-05-23 13:03:40.113 -0600,"Success",0:00:00,0,0,0,"20160523_130340.113/LogFile.txt","","",1
2016-05-23 13:03:59.699 -0600,"Success",0:00:00,0,0,0,"20160523_130359.699/LogFile.txt","","",1
2016-05-23 13:04:00.532 -0600,"Success",0:00:00,0,0,0,"20160523_130400.532/LogFile.txt","","",1
2016-05-23 13:04:01.190 -0600,"Success",0:00:00,0,0,0,"20160523_130401.190/LogFile.txt","","",1
2016-05-23 13:04:19.585 -0600,"Success",0:00:00,0,0,0,"20160523_130419.585/LogFile.txt","","",1
2016-05-24 14:57:14.754 -0600,"Success",0:00:00,0,0,0,"20160524_145714.754/LogFile.txt","","",1
2016-05-25 10:24:24.040 -0600,"Success",0:00:00,0,5,0,"20160525_102424.040/LogFile.txt","","",1
2016-05-31 19:28:38.216 -0600,"Success",0:00:00,0,5,0,"20160531_192838.216/LogFile.txt","","",1
2016-05-31 19:29:46.909 -0600,"Success",0:00:00,0,5,0,"20160531_192946.909/LogFile.txt","","",1
2016-06-03 13:49:11.521 -0600,"Success",0:00:00,0,0,0,"20160603_134911.521/LogFile.txt","","",1
2016-06-03 13:49:28.543 -0600,"Success",0:00:00,0,0,0,"20160603_134928.543/LogFile.txt","","",1
2016-06-03 15:47:09.430 -0600,"Success",0:00:00,0,0,0,"20160603_154709.430/LogFile.txt","","",1
2016-06-03 15:48:02.603 -0600,"Success",0:00:00,0,0,0,"20160603_154802.603/LogFile.txt","","",1
