Script,Last Status,Runs,Fails,First Run,Last Run,Avg Time(Success)
ImageEdit,Failure,23,11,2016-06-03 15:41:22 -0600,2016-06-23 15:03:16 -0600,0:00:00
FirstFeaturefile,Success,7,0,2016-06-08 15:02:31 -0600,2016-06-23 15:00:36 -0600,0:00:00
100scripts,Success,4,0,2016-05-19 12:20:18 -0600,2016-05-20 12:00:28 -0600,0:01:11
500images,Success,4,0,2016-05-19 12:30:17 -0600,2016-05-19 14:29:16 -0600,0:06:11
d,Success,17,6,2016-06-01 11:17:51 -0600,2016-06-13 12:39:48 -0600,0:00:04
un,Success,17,1,2016-05-13 12:41:06 -0600,2016-06-24 15:19:53 -0600,0:00:00
Untitled1,Success,2,0,2016-05-19 10:32:16 -0600,2016-05-19 10:32:40 -0600,0:00:00
Stepwithspace,Success,8,0,2016-06-13 12:43:46 -0600,2016-06-24 15:19:13 -0600,0:00:00
test1,Success,66,12,2016-06-10 22:53:31 -0600,2016-06-24 17:04:23 -0600,0:00:00
Testfeature,Failure,57,26,2016-06-10 17:29:17 -0600,2016-06-10 22:51:44 -0600,0:00:00
100lines,Success,2,0,2016-05-23 15:48:46 -0600,2016-05-23 16:13:27 -0600,0:00:00
Using$,Success,14,0,2016-06-12 00:06:05 -0600,2016-06-23 15:01:22 -0600,0:00:00
asasasas,Success,1,0,2016-06-23 15:02:29 -0600,2016-06-23 15:02:29 -0600,0:00:01
