Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2016-06-03 15:52:04.813 -0600,"Success",0:00:00,0,3,0,"20160603_155204.813/LogFile.txt","","",1
2016-06-03 15:53:11.199 -0600,"Success",0:00:00,0,0,0,"20160603_155311.199/LogFile.txt","","",6
2016-06-03 15:53:13.766 -0600,"Success",0:00:00,0,0,0,"20160603_155313.766/LogFile.txt","","",6
2016-06-10 17:26:30.254 -0600,"Success",0:00:00,0,4,0,"20160610_172630.254/LogFile.txt","","",1
2016-06-10 17:27:50.879 -0600,"Success",0:00:00,0,0,0,"20160610_172750.879/LogFile.txt","","",8
2016-06-12 00:02:28.397 -0600,"Success",0:00:00,0,4,0,"20160612_000228.397/LogFile.txt","","",1
2016-06-12 00:06:05.552 -0600,"Success",0:00:00,0,1,0,"20160612_000605.552/LogFile.txt","","",6
2016-06-12 00:06:09.791 -0600,"Success",0:00:00,0,1,0,"20160612_000609.791/LogFile.txt","","",6
2016-06-12 00:07:39.160 -0600,"Success",0:00:00,0,2,0,"20160612_000739.160/LogFile.txt","","",4
2016-06-12 00:11:03.544 -0600,"Success",0:00:00,0,3,0,"20160612_001103.544/LogFile.txt","","",2
2016-06-12 00:11:08.768 -0600,"Success",0:00:00,0,3,0,"20160612_001108.768/LogFile.txt","","",2
2016-06-12 00:13:05.239 -0600,"Success",0:00:00,0,3,0,"20160612_001305.239/LogFile.txt","","",2
2016-06-12 00:16:47.257 -0600,"Success",0:00:00,0,3,0,"20160612_001647.257/LogFile.txt","","",2
2016-06-12 00:17:00.540 -0600,"Success",0:00:00,0,3,0,"20160612_001700.540/LogFile.txt","","",2
2016-06-12 00:17:17.083 -0600,"Success",0:00:00,0,3,0,"20160612_001717.083/LogFile.txt","","",2
2016-06-12 00:17:28.411 -0600,"Success",0:00:00,0,4,0,"20160612_001728.411/LogFile.txt","","",1
2016-06-12 00:17:36.171 -0600,"Success",0:00:00,0,4,0,"20160612_001736.171/LogFile.txt","","",1
2016-06-12 00:45:07.132 -0600,"Success",0:00:00,0,4,0,"20160612_004507.132/LogFile.txt","","",1
2016-06-12 21:50:12.068 -0600,"Success",0:00:00,0,3,0,"20160612_215012.068/LogFile.txt","","",2
2016-06-23 15:01:22.434 -0600,"Success",0:00:00,0,4,0,"20160623_150122.434/LogFile.txt","","",1
