Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2016-06-01 11:17:51.927 -0600,"Failure",0:00:00,1,0,0,"20160601_111751.927/LogFile.txt","","STUnknownMessage -- ERROR: No Such Command: 'putt'",0
2016-06-01 11:19:13.217 -0600,"Failure",0:00:00,1,0,0,"20160601_111913.217/LogFile.txt","","STUnknownMessage -- ERROR: No Such Command: 'putt'",0
2016-06-01 11:19:30.254 -0600,"Success",0:00:00,0,0,0,"20160601_111930.254/LogFile.txt","","",1
2016-06-01 11:19:57.951 -0600,"Success",0:00:00,0,0,0,"20160601_111957.951/LogFile.txt","","",1
2016-06-10 22:55:13.292 -0600,"Failure",0:00:00,1,0,0,"20160610_225513.292/LogFile.txt","","SenseTalk Compiler Exception -- in add:\nWarning at line 3: Warning - Non-matching handler name: area",0
2016-06-10 22:55:42.473 -0600,"Failure",0:00:00,1,0,0,"20160610_225542.473/LogFile.txt","","SenseTalk Compiler Exception -- in add:\nWarning at line 3: Warning - Non-matching handler name: area",0
2016-06-10 22:56:07.455 -0600,"Failure",0:00:00,1,0,0,"20160610_225607.455/LogFile.txt","","SenseTalk Compiler Exception -- in add:\nWarning at line 3: Warning - Non-matching handler name: area",0
2016-06-10 22:56:25.440 -0600,"Success",0:00:00,0,0,0,"20160610_225625.440/LogFile.txt","","",1
2016-06-10 22:56:55.218 -0600,"Success",0:00:00,0,0,0,"20160610_225655.218/LogFile.txt","","",1
2016-06-11 00:03:39.922 -0600,"Failure",0:00:00,1,0,0,"20160611_000339.922/LogFile.txt","","STUnknownMessage -- ERROR: No Such Command: 'add1'",0
2016-06-11 00:03:57.802 -0600,"Success",0:00:00,0,0,0,"20160611_000357.802/LogFile.txt","","",1
2016-06-11 00:06:11.899 -0600,"Success",0:00:00,0,0,0,"20160611_000611.899/LogFile.txt","","",1
2016-06-11 00:06:43.754 -0600,"Success",0:00:00,0,0,0,"20160611_000643.754/LogFile.txt","","",1
2016-06-11 00:08:47.922 -0600,"Success",0:00:00,0,0,0,"20160611_000847.922/LogFile.txt","","",1
2016-06-11 00:15:05.993 -0600,"Success",0:00:00,0,0,0,"20160611_001505.993/LogFile.txt","","",1
2016-06-13 11:14:14.454 -0600,"Running",0:00:00,0,0,0,"20160613_111414.454/LogFile.txt","","",0
2016-06-13 11:16:29.037 -0600,"Success",0:00:26,0,0,0,"20160613_111629.037/LogFile.txt","","",1
2016-06-13 12:39:48.263 -0600,"Success",0:00:13,0,0,0,"20160613_123948.263/LogFile.txt","","",1
