Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2016-05-13 12:41:06.122 -0600,"Failure",0:00:00,1,0,0,"20160513_124106.122/LogFile.txt","","STUnknownMessage -- ERROR: 'resourcepath' was called as a Command, but is only available as a Function",0
2016-05-19 10:32:11.907 -0600,"Success",0:00:00,0,0,0,"20160519_103211.907/LogFile.txt","","",1
2016-05-19 10:33:06.105 -0600,"Success",0:00:00,0,0,0,"20160519_103306.105/LogFile.txt","","",1
2016-06-01 11:16:38.333 -0600,"Success",0:00:00,0,0,0,"20160601_111638.333/LogFile.txt","","",1
2016-06-01 11:19:24.799 -0600,"Success",0:00:00,0,0,0,"20160601_111924.799/LogFile.txt","","",1
2016-06-01 11:20:03.913 -0600,"Success",0:00:00,0,0,0,"20160601_112003.913/LogFile.txt","","",1
2016-06-10 22:54:52.782 -0600,"Success",0:00:00,0,0,0,"20160610_225452.782/LogFile.txt","","",1
2016-06-10 22:56:19.714 -0600,"Success",0:00:00,0,0,0,"20160610_225619.714/LogFile.txt","","",1
2016-06-10 22:56:48.043 -0600,"Success",0:00:00,0,0,0,"20160610_225648.043/LogFile.txt","","",1
2016-06-11 00:03:49.363 -0600,"Success",0:00:00,0,0,0,"20160611_000349.363/LogFile.txt","","",1
2016-06-11 00:05:48.937 -0600,"Success",0:00:00,0,0,0,"20160611_000548.937/LogFile.txt","","",1
2016-06-11 00:06:37.431 -0600,"Success",0:00:00,0,0,0,"20160611_000637.431/LogFile.txt","","",1
2016-06-11 00:08:38.798 -0600,"Success",0:00:00,0,0,0,"20160611_000838.798/LogFile.txt","","",1
2016-06-11 00:14:57.460 -0600,"Success",0:00:00,0,0,0,"20160611_001457.460/LogFile.txt","","",1
2016-06-13 11:14:05.654 -0600,"Success",0:00:00,0,0,0,"20160613_111405.654/LogFile.txt","","",1
2016-06-13 11:16:16.717 -0600,"Success",0:00:00,0,0,0,"20160613_111616.717/LogFile.txt","","",1
2016-06-24 15:19:53.035 -0600,"Success",0:00:00,0,0,0,"20160624_151953.035/LogFile.txt","","",1
