Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2016-06-14 15:15:32.166 -0600,"Success",0:00:00,0,3,0,"20160614_151532.166/LogFile.txt","","",1
2016-06-14 15:16:05.070 -0600,"Success",0:00:00,0,2,0,"20160614_151605.070/LogFile.txt","","",1
2016-06-14 15:16:15.640 -0600,"Success",0:00:00,0,0,0,"20160614_151615.640/LogFile.txt","","",3
2016-06-14 15:16:23.314 -0600,"Success",0:00:00,0,0,0,"20160614_151623.314/LogFile.txt","","",3
2016-06-14 15:17:59.625 -0600,"Success",0:00:00,0,3,0,"20160614_151759.625/LogFile.txt","","",1
2016-06-14 15:18:41.702 -0600,"Success",0:00:00,0,3,0,"20160614_151841.702/LogFile.txt","","",1
2016-06-14 15:18:43.426 -0600,"Success",0:00:00,0,3,0,"20160614_151843.426/LogFile.txt","","",1
2016-06-14 15:19:06.206 -0600,"Success",0:00:00,0,3,0,"20160614_151906.206/LogFile.txt","","",1
2016-06-14 15:19:08.337 -0600,"Success",0:00:00,0,3,0,"20160614_151908.337/LogFile.txt","","",1
2016-06-14 15:19:09.411 -0600,"Success",0:00:00,0,3,0,"20160614_151909.411/LogFile.txt","","",1
2016-06-14 15:19:10.721 -0600,"Success",0:00:00,0,3,0,"20160614_151910.721/LogFile.txt","","",1
2016-06-14 15:19:27.817 -0600,"Success",0:00:00,0,3,0,"20160614_151927.817/LogFile.txt","","",1
2016-06-14 15:23:21.172 -0600,"Success",0:00:00,0,3,0,"20160614_152321.172/LogFile.txt","","",1
2016-06-14 15:24:05.190 -0600,"Success",0:00:00,0,0,0,"20160614_152405.190/LogFile.txt","","",3
2016-06-14 15:25:22.511 -0600,"Success",0:00:00,0,3,0,"20160614_152522.511/LogFile.txt","","",1
2016-06-14 15:25:54.250 -0600,"Success",0:00:00,0,0,0,"20160614_152554.250/LogFile.txt","","",3
2016-06-14 15:31:31.592 -0600,"Success",0:00:00,0,0,0,"20160614_153131.592/LogFile.txt","","",3
2016-06-14 15:31:35.366 -0600,"Success",0:00:00,0,0,0,"20160614_153135.366/LogFile.txt","","",3
2016-06-14 15:32:22.104 -0600,"Success",0:00:00,0,0,0,"20160614_153222.104/LogFile.txt","","",3
2016-06-14 15:33:20.801 -0600,"Success",0:00:00,0,0,0,"20160614_153320.801/LogFile.txt","","",3
2016-06-14 15:34:23.449 -0600,"Success",0:00:00,0,0,0,"20160614_153423.449/LogFile.txt","","",3
2016-06-14 15:34:39.796 -0600,"Success",0:00:00,0,0,0,"20160614_153439.796/LogFile.txt","","",3
2016-06-14 15:34:40.889 -0600,"Success",0:00:00,0,0,0,"20160614_153440.889/LogFile.txt","","",3
2016-06-14 21:39:49.888 -0600,"Success",0:00:00,0,0,0,"20160614_213949.888/LogFile.txt","","",3
2016-06-14 21:44:21.157 -0600,"Success",0:00:00,0,1,0,"20160614_214421.157/LogFile.txt","","",1
2016-06-14 21:44:33.132 -0600,"Success",0:00:00,0,2,0,"20160614_214433.132/LogFile.txt","","",1
2016-06-14 21:44:42.927 -0600,"Success",0:00:00,0,2,0,"20160614_214442.927/LogFile.txt","","",1
2016-06-14 21:49:31.047 -0600,"Failure",0:00:00,2,0,0,"20160614_214931.047/LogFile.txt","","SenseTalk Runtime Exception -- Invalid operands: can't subtract 'y' from 'x' (expected numbers, date and number, or lists)",1
2016-06-14 21:50:39.414 -0600,"Failure",0:00:00,2,0,0,"20160614_215039.414/LogFile.txt","","SenseTalk Runtime Exception -- Invalid operands: can't subtract 'num2' from '' (expected numbers, date and number, or lists)",1
2016-06-14 21:51:07.781 -0600,"Failure",0:00:00,2,0,0,"20160614_215107.781/LogFile.txt","","SenseTalk Runtime Exception -- Invalid operands: can't subtract 'num2' from '' (expected numbers, date and number, or lists)",1
2016-06-14 21:52:21.407 -0600,"Failure",0:00:00,2,0,0,"20160614_215221.407/LogFile.txt","","SenseTalk Runtime Exception -- Invalid operands: can't subtract 'num2' from '' (expected numbers, date and number, or lists)",1
2016-06-14 21:52:37.688 -0600,"Failure",0:00:00,2,0,0,"20160614_215237.688/LogFile.txt","","SenseTalk Runtime Exception -- Invalid operands: can't subtract 'num2' from '' (expected numbers, date and number, or lists)",1
2016-06-14 21:53:08.117 -0600,"Failure",0:00:00,2,0,0,"20160614_215308.117/LogFile.txt","","SenseTalk Runtime Exception -- Invalid operands: can't subtract 'num2' from '' (expected numbers, date and number, or lists)",1
