Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2016-06-06 15:49:14.408 -0600,"Success",0:00:00,0,3,0,"20160606_154914.408/LogFile.txt","","",1
2016-06-06 15:49:56.559 -0600,"Success",0:00:00,0,3,0,"20160606_154956.559/LogFile.txt","","",1
2016-06-08 13:05:11.227 -0600,"Success",0:00:00,0,3,0,"20160608_130511.227/LogFile.txt","","",1
2016-06-20 14:32:58.063 -0600,"Success",0:00:00,0,2,0,"20160620_143258.063/LogFile.txt","","",1
2016-06-20 14:33:45.771 -0600,"Success",0:00:00,0,0,0,"20160620_143345.771/LogFile.txt","","",2
2016-06-20 14:36:39.068 -0600,"Success",0:00:00,0,3,0,"20160620_143639.068/LogFile.txt","","",1
2016-06-20 14:40:37.577 -0600,"Failure",0:00:00,2,0,0,"20160620_144037.577/LogFile.txt","","SenseTalk Runtime Exception -- Invalid operands: can't subtract 'num' from 'num' (expected numbers, date and number, or lists)",2
2016-06-20 14:41:04.990 -0600,"Failure",0:00:00,2,0,0,"20160620_144104.990/LogFile.txt","","SenseTalk Runtime Exception -- Invalid operands: can't subtract 'num' from 'num' (expected numbers, date and number, or lists)",2
2016-06-20 14:41:39.930 -0600,"Failure",0:00:00,2,0,0,"20160620_144139.930/LogFile.txt","","SenseTalk Runtime Exception -- Invalid operands: can't subtract 'num' from 'num' (expected numbers, date and number, or lists)",2
2016-06-20 14:42:16.159 -0600,"Failure",0:00:00,2,0,0,"20160620_144216.159/LogFile.txt","","SenseTalk Runtime Exception -- Invalid operands: can't subtract 'num' from 'num' (expected numbers, date and number, or lists)",2
2016-06-20 14:43:11.660 -0600,"Failure",0:00:00,2,0,0,"20160620_144311.660/LogFile.txt","","SenseTalk Runtime Exception -- Invalid operands: can't subtract 'num' from 'num' (expected numbers, date and number, or lists)",2
2016-06-20 14:43:49.580 -0600,"Failure",0:00:00,3,0,0,"20160620_144349.580/LogFile.txt","","STInvalidNumber -- Value is not a number: 'num'",4
2016-06-20 14:44:52.493 -0600,"Success",0:00:00,0,0,0,"20160620_144452.493/LogFile.txt","","",6
2016-06-20 14:45:31.237 -0600,"Success",0:00:00,0,0,0,"20160620_144531.237/LogFile.txt","","",6
2016-06-20 14:47:21.702 -0600,"Success",0:00:00,0,0,0,"20160620_144721.702/LogFile.txt","","",6
2016-06-20 14:48:24.686 -0600,"Success",0:00:00,0,0,0,"20160620_144824.686/LogFile.txt","","",6
2016-06-20 14:49:42.081 -0600,"Success",0:00:00,0,0,0,"20160620_144942.081/LogFile.txt","","",6
2016-06-20 14:49:49.878 -0600,"Success",0:00:00,0,0,0,"20160620_144949.878/LogFile.txt","","",6
2016-06-20 14:51:54.698 -0600,"Success",0:00:00,0,0,0,"20160620_145154.698/LogFile.txt","","",6
2016-06-20 14:52:13.717 -0600,"Success",0:00:00,0,0,0,"20160620_145213.717/LogFile.txt","","",6
2016-06-20 14:56:36.888 -0600,"Success",0:00:00,0,0,0,"20160620_145636.888/LogFile.txt","","",6
2016-06-20 15:07:31.331 -0600,"Failure",0:00:00,4,0,0,"20160620_150731.331/LogFile.txt","","STInvalidNumber -- Value is not a number: '(script:return & ...'",3
2016-06-20 15:07:58.419 -0600,"Failure",0:00:00,4,0,0,"20160620_150758.419/LogFile.txt","","STInvalidNumber -- Value is not a number: '(script:return & ...'",3
2016-06-20 15:08:59.801 -0600,"Success",0:00:00,0,0,0,"20160620_150859.801/LogFile.txt","","",1
2016-06-20 15:09:08.149 -0600,"Success",0:00:00,0,0,0,"20160620_150908.149/LogFile.txt","","",1
2016-06-20 16:46:43.930 -0600,"Success",0:00:00,0,0,0,"20160620_164643.930/LogFile.txt","","",1
2016-06-20 16:46:47.517 -0600,"Success",0:00:00,0,0,0,"20160620_164647.517/LogFile.txt","","",1
2016-06-20 16:47:53.578 -0600,"Success",0:00:00,0,0,0,"20160620_164753.578/LogFile.txt","","",1
2016-06-20 16:48:49.052 -0600,"Success",0:00:00,0,0,0,"20160620_164849.052/LogFile.txt","","",1
2016-06-20 16:49:10.562 -0600,"Success",0:00:00,0,0,0,"20160620_164910.562/LogFile.txt","","",1
2016-06-20 16:51:40.330 -0600,"Success",0:00:00,0,0,0,"20160620_165140.330/LogFile.txt","","",2
2016-06-20 16:52:46.615 -0600,"Success",0:00:00,0,0,0,"20160620_165246.615/LogFile.txt","","",1
2016-06-20 16:53:37.547 -0600,"Success",0:00:00,0,0,0,"20160620_165337.547/LogFile.txt","","",2
