Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2016-06-27 13:45:35.792 -0600,"Success",0:00:00,0,3,0,"20160627_134535.792/LogFile.txt","","",1
2016-06-27 13:46:41.350 -0600,"Success",0:00:00,0,1,0,"20160627_134641.350/LogFile.txt","","",2
2016-06-27 13:47:10.032 -0600,"Success",0:00:00,0,1,0,"20160627_134710.032/LogFile.txt","","",2
2016-06-27 13:49:42.678 -0600,"Success",0:00:00,0,1,0,"20160627_134942.678/LogFile.txt","","",2
2016-06-27 13:52:20.922 -0600,"Success",0:00:00,0,1,0,"20160627_135220.922/LogFile.txt","","",2
2016-06-27 13:52:38.304 -0600,"Success",0:00:00,0,1,0,"20160627_135238.304/LogFile.txt","","",2
2016-06-27 13:52:59.595 -0600,"Success",0:00:00,0,1,0,"20160627_135259.595/LogFile.txt","","",2
2016-06-27 13:53:27.270 -0600,"Success",0:00:00,0,1,0,"20160627_135327.270/LogFile.txt","","",2
2016-06-27 14:15:58.671 -0600,"Success",0:00:00,0,1,0,"20160627_141558.671/LogFile.txt","","",2
2016-06-29 16:25:31.757 -0600,"Success",0:00:00,0,2,0,"20160629_162531.757/LogFile.txt","","",1
2016-06-29 16:26:15.977 -0600,"Success",0:00:00,0,0,0,"20160629_162615.977/LogFile.txt","","",3
2016-06-29 16:26:30.003 -0600,"Success",0:00:27,0,0,0,"20160629_162630.003/LogFile.txt","","",3
2016-06-30 17:20:19.723 -0600,"Success",0:00:00,0,15,0,"20160630_172019.723/LogFile.txt","","",1
2016-07-05 21:11:23.433 -0600,"Failure",0:00:00,4,6,3,"20160705_211123.433/LogFile.txt","","No Remote Connection -- moveto Error - Remote Connection Unavailable",6
2016-07-05 21:32:00.221 -0600,"Failure",0:00:00,4,6,3,"20160705_213200.221/LogFile.txt","","No Remote Connection -- moveto Error - Remote Connection Unavailable",6
