Script,Last Status,Runs,Fails,First Run,Last Run,Avg Time(Success)
scenriooutline,Success,1,0,2016-06-30 12:51:24 -0600,2016-06-30 12:51:24 -0600,0:00:00
newfeature,Success,12,0,2016-06-06 15:49:14 -0600,2016-06-27 13:43:52 -0600,0:00:00
OCRHandler,Success,5,0,2016-06-23 00:11:09 -0600,2016-06-29 16:22:00 -0600,0:00:00
Untitled1,Success,32,0,2016-06-08 13:01:25 -0600,2016-06-27 13:29:51 -0600,0:00:00
Testdocs,Success,10,0,2016-06-15 12:34:56 -0600,2016-07-05 21:11:11 -0600,0:00:00
g,Success,13,0,2016-06-03 15:58:00 -0600,2016-06-16 10:48:23 -0600,0:00:00
OCRtest,Success,2,0,2016-06-29 16:22:12 -0600,2016-06-29 16:22:54 -0600,0:00:26
Ft1,Failure,16,2,2016-06-27 13:46:41 -0600,2016-07-05 21:32:00 -0600,0:00:01
g1,Failure,10,7,2016-06-15 10:50:22 -0600,2016-06-27 09:38:36 -0600,0:00:00
Untitled,Success,28,1,2016-06-13 14:45:12 -0600,2016-06-30 10:46:12 -0600,0:00:00
GherkinScripts,Success,3,0,2016-06-13 16:06:05 -0600,2016-06-13 16:47:25 -0600,0:00:00
Background3,Success,1,0,2016-06-29 16:57:31 -0600,2016-06-29 16:57:31 -0600,0:00:28
Cash,Success,28,0,2016-06-09 13:58:03 -0600,2016-06-29 15:31:57 -0600,0:00:00
Untitled4,Success,11,1,2016-06-27 09:50:19 -0600,2016-06-29 16:07:08 -0600,0:00:05
scenoutline,Success,20,0,2016-06-22 09:25:33 -0600,2016-06-27 15:40:48 -0600,0:00:00
outline,Success,29,0,2016-06-14 11:21:09 -0600,2016-06-29 16:30:59 -0600,0:00:16
Background,Success,146,30,2016-06-14 15:24:05 -0600,2016-06-27 14:15:52 -0600,0:00:00
RenamedBackgroundScript,Failure,4,1,2016-06-14 15:16:05 -0600,2016-06-29 15:34:41 -0600,0:00:00
featurefilescript,Success,1,0,2016-06-14 16:17:47 -0600,2016-06-14 16:17:47 -0600,0:00:00
