Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2016-06-06 15:49:14.408 -0600,"Success",0:00:00,0,3,0,"20160606_154914.408/LogFile.txt","","",1
2016-06-06 15:49:56.559 -0600,"Success",0:00:00,0,3,0,"20160606_154956.559/LogFile.txt","","",1
2016-06-08 13:05:11.227 -0600,"Success",0:00:00,0,3,0,"20160608_130511.227/LogFile.txt","","",1
2016-06-15 12:34:09.824 -0600,"Success",0:00:00,0,6,0,"20160615_123409.824/LogFile.txt","","",1
2016-06-15 12:34:56.713 -0600,"Success",0:00:00,0,0,0,"20160615_123456.713/LogFile.txt","","",6
2016-06-16 11:39:57.788 -0600,"Success",0:00:00,0,0,0,"20160616_113957.788/LogFile.txt","","",6
2016-06-22 09:22:07.919 -0600,"Success",0:00:00,0,0,0,"20160622_092207.919/LogFile.txt","","",6
2016-06-22 09:25:37.142 -0600,"Success",0:00:00,0,0,0,"20160622_092537.142/LogFile.txt","","",6
2016-06-27 13:29:38.213 -0600,"Success",0:00:00,0,0,0,"20160627_132938.213/LogFile.txt","","",6
2016-06-30 10:47:13.572 -0600,"Success",0:00:00,0,0,0,"20160630_104713.572/LogFile.txt","","",6
2016-06-30 10:47:34.697 -0600,"Success",0:00:00,0,0,0,"20160630_104734.697/LogFile.txt","","",6
2016-07-05 21:10:10.344 -0600,"Success",0:00:00,0,1,0,"20160705_211010.344/LogFile.txt","","",5
