Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2016-06-03 15:56:59.119 -0600,"Success",0:00:00,0,3,0,"20160603_155659.119/LogFile.txt","","",1
2016-06-03 15:57:35.298 -0600,"Success",0:00:00,0,3,0,"20160603_155735.298/LogFile.txt","","",1
2016-06-03 16:35:05.800 -0600,"Success",0:00:00,0,2,0,"20160603_163505.800/LogFile.txt","","",2
2016-06-14 12:20:21.793 -0600,"Success",0:00:00,0,5,0,"20160614_122021.793/LogFile.txt","","",1
2016-06-14 12:23:01.600 -0600,"Success",0:00:00,0,0,0,"20160614_122301.600/LogFile.txt","","",5
2016-06-14 12:23:40.940 -0600,"Success",0:00:00,0,0,0,"20160614_122340.940/LogFile.txt","","",5
2016-06-27 13:29:40.973 -0600,"Success",0:00:00,0,0,0,"20160627_132940.973/LogFile.txt","","",5
2016-06-30 10:37:24.719 -0600,"Success",0:00:00,0,0,0,"20160630_103724.719/LogFile.txt","","",5
2016-06-30 10:38:13.346 -0600,"Success",0:00:00,0,0,0,"20160630_103813.346/LogFile.txt","","",5
2016-06-30 10:39:19.551 -0600,"Success",0:00:00,0,0,0,"20160630_103919.551/LogFile.txt","","",5
2016-06-30 10:40:09.202 -0600,"Success",0:00:00,0,0,0,"20160630_104009.202/LogFile.txt","","",5
2016-06-30 10:40:25.526 -0600,"Success",0:00:00,0,0,0,"20160630_104025.526/LogFile.txt","","",5
2016-06-30 10:42:01.652 -0600,"Success",0:00:00,0,0,0,"20160630_104201.652/LogFile.txt","","",9
2016-06-30 10:42:09.960 -0600,"Success",0:00:00,0,0,0,"20160630_104209.960/LogFile.txt","","",9
2016-06-30 10:43:34.892 -0600,"Success",0:00:00,0,0,0,"20160630_104334.892/LogFile.txt","","",9
2016-06-30 10:44:27.379 -0600,"Success",0:00:00,0,0,0,"20160630_104427.379/LogFile.txt","","",9
2016-06-30 10:45:43.174 -0600,"Success",0:00:00,0,0,0,"20160630_104543.174/LogFile.txt","","",9
2016-06-30 10:45:45.297 -0600,"Success",0:00:00,0,0,0,"20160630_104545.297/LogFile.txt","","",9
2016-06-30 10:46:12.975 -0600,"Success",0:00:00,0,0,0,"20160630_104612.975/LogFile.txt","","",9
