Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2016-06-13 14:45:12.946 -0600,"Failure",0:00:00,1,0,0,"20160613_144512.946/LogFile.txt","","STUnknownMessage -- ERROR: No Such Command: 'i'",0
2016-06-14 10:47:11.694 -0600,"Success",0:00:00,0,0,0,"20160614_104711.694/LogFile.txt","","",1
2016-06-14 10:48:19.786 -0600,"Success",0:00:00,0,0,0,"20160614_104819.786/LogFile.txt","","",1
2016-06-14 10:55:21.738 -0600,"Success",0:00:00,0,0,0,"20160614_105521.738/LogFile.txt","","",1
2016-06-14 11:03:41.913 -0600,"Success",0:00:00,0,0,0,"20160614_110341.913/LogFile.txt","","",1
2016-06-14 11:04:24.550 -0600,"Success",0:00:00,0,0,0,"20160614_110424.550/LogFile.txt","","",1
2016-06-14 11:05:14.229 -0600,"Success",0:00:00,0,0,0,"20160614_110514.229/LogFile.txt","","",1
2016-06-14 11:05:44.558 -0600,"Success",0:00:00,0,0,0,"20160614_110544.558/LogFile.txt","","",1
2016-06-14 11:06:33.028 -0600,"Success",0:00:00,0,0,0,"20160614_110633.028/LogFile.txt","","",1
2016-06-14 11:06:44.054 -0600,"Success",0:00:00,0,0,0,"20160614_110644.054/LogFile.txt","","",1
2016-06-14 11:07:29.766 -0600,"Success",0:00:00,0,0,0,"20160614_110729.766/LogFile.txt","","",1
2016-06-14 12:22:32.620 -0600,"Success",0:00:00,0,0,0,"20160614_122232.620/LogFile.txt","","",1
