Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2016-06-03 15:56:59.119 -0600,"Success",0:00:00,0,3,0,"20160603_155659.119/LogFile.txt","","",1
2016-06-03 15:57:35.298 -0600,"Success",0:00:00,0,3,0,"20160603_155735.298/LogFile.txt","","",1
2016-06-03 16:35:05.800 -0600,"Success",0:00:00,0,2,0,"20160603_163505.800/LogFile.txt","","",2
2016-06-06 11:55:48.094 -0600,"Success",0:00:00,0,3,0,"20160606_115548.094/LogFile.txt","","",1
2016-06-06 15:30:01.890 -0600,"Success",0:00:00,0,1,0,"20160606_153001.890/LogFile.txt","","",4
2016-06-06 15:31:26.074 -0600,"Success",0:00:00,0,0,0,"20160606_153126.074/LogFile.txt","","",6
2016-06-06 15:32:43.849 -0600,"Success",0:00:00,0,3,0,"20160606_153243.849/LogFile.txt","","",1
2016-06-06 15:34:28.729 -0600,"Success",0:00:00,0,0,0,"20160606_153428.729/LogFile.txt","","",6
2016-06-06 15:43:29.284 -0600,"Success",0:00:00,0,3,0,"20160606_154329.284/LogFile.txt","","",6
2016-06-08 11:57:02.679 -0600,"Success",0:00:00,0,0,0,"20160608_115702.679/LogFile.txt","","",12
2016-06-08 12:01:22.821 -0600,"Success",0:00:00,0,0,0,"20160608_120122.821/LogFile.txt","","",6
2016-06-08 13:01:03.697 -0600,"Success",0:00:00,0,0,0,"20160608_130103.697/LogFile.txt","","",12
2016-06-08 13:03:24.196 -0600,"Success",0:00:00,0,6,0,"20160608_130324.196/LogFile.txt","","",1
2016-06-09 11:26:41.553 -0600,"Success",0:00:00,0,1,0,"20160609_112641.553/LogFile.txt","","",10
2016-06-09 11:26:49.174 -0600,"Success",0:00:00,0,0,0,"20160609_112649.174/LogFile.txt","","",12
2016-06-09 22:29:13.352 -0600,"Success",0:00:00,0,0,0,"20160609_222913.352/LogFile.txt","","",12
2016-06-20 14:15:30.355 -0600,"Success",0:00:00,0,0,0,"20160620_141530.355/LogFile.txt","","",6
2016-06-20 16:49:54.284 -0600,"Success",0:00:00,0,0,0,"20160620_164954.284/LogFile.txt","","",6
2016-06-21 17:28:51.122 -0600,"Success",0:00:00,0,0,0,"20160621_172851.122/LogFile.txt","","",6
2016-06-22 13:48:05.353 -0600,"Success",0:00:00,0,0,0,"20160622_134805.353/LogFile.txt","","",6
2016-06-27 09:52:53.073 -0600,"Success",0:00:00,0,0,0,"20160627_095253.073/LogFile.txt","","",6
2016-06-27 13:29:27.649 -0600,"Success",0:00:00,0,0,0,"20160627_132927.649/LogFile.txt","","",6
2016-06-27 13:43:52.122 -0600,"Success",0:00:00,0,1,0,"20160627_134352.122/LogFile.txt","","",2
