Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2016-06-14 09:52:17.328 -0600,"Success",0:00:00,0,0,0,"20160614_095217.328/LogFile.txt","","",1
2016-06-14 09:56:16.100 -0600,"Success",0:00:00,0,0,0,"20160614_095616.100/LogFile.txt","","",1
2016-06-14 09:59:48.684 -0600,"Success",0:00:00,0,0,0,"20160614_095948.684/LogFile.txt","","",1
2016-06-14 10:35:58.688 -0600,"Success",0:00:00,0,0,0,"20160614_103558.688/LogFile.txt","","",1
2016-06-14 10:45:20.067 -0600,"Success",0:00:00,0,0,0,"20160614_104520.067/LogFile.txt","","",1
2016-06-14 10:49:43.384 -0600,"Success",0:00:00,0,0,0,"20160614_104943.384/LogFile.txt","","",1
2016-06-14 10:52:04.262 -0600,"Success",0:00:00,0,0,0,"20160614_105204.262/LogFile.txt","","",1
2016-06-14 10:56:00.726 -0600,"Success",0:00:00,0,0,0,"20160614_105600.726/LogFile.txt","","",1
2016-06-14 10:56:05.754 -0600,"Success",0:00:00,0,0,0,"20160614_105605.754/LogFile.txt","","",1
2016-06-14 11:08:30.944 -0600,"Success",0:00:00,0,0,0,"20160614_110830.944/LogFile.txt","","",1
2016-06-14 11:09:28.666 -0600,"Success",0:00:00,0,0,0,"20160614_110928.666/LogFile.txt","","",1
2016-06-14 11:11:13.126 -0600,"Success",0:00:00,0,0,0,"20160614_111113.126/LogFile.txt","","",1
2016-06-14 11:13:08.706 -0600,"Success",0:00:00,0,0,0,"20160614_111308.706/LogFile.txt","","",1
2016-06-14 11:14:15.124 -0600,"Success",0:00:00,0,0,0,"20160614_111415.124/LogFile.txt","","",1
2016-06-14 11:19:07.526 -0600,"Success",0:00:00,0,0,0,"20160614_111907.526/LogFile.txt","","",1
2016-06-14 12:01:40.705 -0600,"Success",0:00:00,0,0,0,"20160614_120140.705/LogFile.txt","","",1
2016-06-14 12:03:09.564 -0600,"Success",0:00:00,0,0,0,"20160614_120309.564/LogFile.txt","","",1
2016-06-14 12:03:53.868 -0600,"Success",0:00:00,0,0,0,"20160614_120353.868/LogFile.txt","","",1
2016-06-14 12:07:53.116 -0600,"Success",0:00:00,0,0,0,"20160614_120753.116/LogFile.txt","","",1
2016-06-14 12:10:36.771 -0600,"Success",0:00:00,0,0,0,"20160614_121036.771/LogFile.txt","","",1
2016-06-14 12:14:50.256 -0600,"Success",0:00:00,0,0,0,"20160614_121450.256/LogFile.txt","","",1
2016-06-14 12:26:59.584 -0600,"Success",0:00:00,0,0,0,"20160614_122659.584/LogFile.txt","","",1
2016-06-14 12:28:20.627 -0600,"Success",0:00:00,0,0,0,"20160614_122820.627/LogFile.txt","","",1
2016-06-14 12:28:39.208 -0600,"Success",0:00:00,0,0,0,"20160614_122839.208/LogFile.txt","","",1
