Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2016-06-22 09:25:33.373 -0600,"Success",0:00:00,0,0,0,"20160622_092533.373/LogFile.txt","","",5
2016-06-27 09:34:57.061 -0600,"Success",0:00:00,0,0,0,"20160627_093457.061/LogFile.txt","","",5
2016-06-27 09:37:03.665 -0600,"Success",0:00:00,0,0,0,"20160627_093703.665/LogFile.txt","","",5
2016-06-27 12:56:56.148 -0600,"Success",0:00:00,0,0,0,"20160627_125656.148/LogFile.txt","","",5
2016-06-27 12:57:07.428 -0600,"Success",0:00:00,0,0,0,"20160627_125707.428/LogFile.txt","","",5
2016-06-27 12:57:49.643 -0600,"Success",0:00:00,0,0,0,"20160627_125749.643/LogFile.txt","","",5
2016-06-27 12:58:27.633 -0600,"Success",0:00:00,0,0,0,"20160627_125827.633/LogFile.txt","","",5
2016-06-27 12:59:30.198 -0600,"Success",0:00:00,0,0,0,"20160627_125930.198/LogFile.txt","","",10
2016-06-27 13:00:03.548 -0600,"Success",0:00:00,0,0,0,"20160627_130003.548/LogFile.txt","","",15
2016-06-27 13:01:18.084 -0600,"Success",0:00:00,0,0,0,"20160627_130118.084/LogFile.txt","","",15
2016-06-27 13:01:33.978 -0600,"Success",0:00:00,0,0,0,"20160627_130133.978/LogFile.txt","","",10
2016-06-27 13:02:29.134 -0600,"Success",0:00:00,0,0,0,"20160627_130229.134/LogFile.txt","","",15
2016-06-27 13:02:39.109 -0600,"Success",0:00:00,0,0,0,"20160627_130239.109/LogFile.txt","","",15
2016-06-27 13:02:40.739 -0600,"Success",0:00:00,0,0,0,"20160627_130240.739/LogFile.txt","","",15
2016-06-27 13:02:41.839 -0600,"Success",0:00:00,0,0,0,"20160627_130241.839/LogFile.txt","","",15
2016-06-27 13:02:43.316 -0600,"Success",0:00:00,0,0,0,"20160627_130243.316/LogFile.txt","","",15
2016-06-27 13:20:43.654 -0600,"Success",0:00:00,0,0,0,"20160627_132043.654/LogFile.txt","","",15
2016-06-27 13:27:09.905 -0600,"Success",0:00:00,0,0,0,"20160627_132709.905/LogFile.txt","","",15
2016-06-27 13:29:33.722 -0600,"Success",0:00:00,0,0,0,"20160627_132933.722/LogFile.txt","","",15
2016-06-27 15:40:48.758 -0600,"Success",0:00:00,0,0,0,"20160627_154048.758/LogFile.txt","","",15
2016-06-30 12:51:24.681 -0600,"Success",0:00:00,0,15,0,"20160630_125124.681/LogFile.txt","","",1
