Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2016-06-06 16:32:07.897 -0600,"Success",0:00:00,0,0,0,"20160606_163207.897/LogFile.txt","","",1
2016-06-06 16:32:09.130 -0600,"Success",0:00:00,0,0,0,"20160606_163209.130/LogFile.txt","","",1
2016-06-06 16:32:10.152 -0600,"Success",0:00:00,0,0,0,"20160606_163210.152/LogFile.txt","","",1
2016-06-06 16:32:11.062 -0600,"Success",0:00:00,0,0,0,"20160606_163211.062/LogFile.txt","","",1
2016-06-06 16:32:11.707 -0600,"Success",0:00:00,0,0,0,"20160606_163211.707/LogFile.txt","","",1
2016-06-06 16:32:12.167 -0600,"Success",0:00:00,0,0,0,"20160606_163212.167/LogFile.txt","","",1
2016-06-06 16:32:12.626 -0600,"Success",0:00:00,0,0,0,"20160606_163212.626/LogFile.txt","","",1
2016-06-06 16:36:00.247 -0600,"Success",0:00:00,0,0,0,"20160606_163600.247/LogFile.txt","","",1
2017-01-09 13:41:49.811 -0700,"Success",0:00:00,0,2,0,"20170109_134149.811/LogFile.txt","","",1
2017-01-09 13:42:01.168 -0700,"Success",0:00:00,0,3,0,"20170109_134201.168/LogFile.txt","","",1
2017-01-09 13:42:49.183 -0700,"Success",0:00:00,0,3,0,"20170109_134249.183/LogFile.txt","","",1
2017-01-09 13:43:11.651 -0700,"Success",0:00:00,0,3,0,"20170109_134311.651/LogFile.txt","","",1
2017-01-09 13:43:25.001 -0700,"Success",0:00:00,0,3,0,"20170109_134325.001/LogFile.txt","","",1
2017-01-09 13:44:11.609 -0700,"Success",0:00:00,0,0,0,"20170109_134411.609/LogFile.txt","","",3
2017-01-09 13:44:49.283 -0700,"Success",0:00:00,0,0,0,"20170109_134449.283/LogFile.txt","","",3
2017-01-09 13:51:13.715 -0700,"Success",0:00:00,0,0,0,"20170109_135113.715/LogFile.txt","","",3
