Script,Last Status,Runs,Fails,First Run,Last Run,Avg Time(Success)
,Success,1,0,2016-12-15 12:34:52 -0700,2016-12-15 12:34:52 -0700,0:00:00
Folder1/NewFolder/hello,Success,2,0,2016-11-28 09:30:14 -0700,2016-12-06 10:25:54 -0700,0:00:00
Untitled12345,Failure,6,3,2016-12-15 12:31:04 -0700,2016-12-28 14:08:17 -0700,0:01:47
Untitled12344,Failure,13,8,2016-12-21 14:26:16 -0700,2016-12-21 15:51:16 -0700,0:00:00
Untitled,Success,13,5,2016-12-30 15:28:45 -0700,2017-01-03 14:39:55 -0700,0:00:01
ggh/Untitled5,Success,3,0,2016-12-05 22:35:53 -0700,2016-12-06 10:02:45 -0700,0:00:00
Untitled12342,Success,4,0,2016-12-06 23:05:58 -0700,2016-12-28 14:07:23 -0700,0:00:00
reena,Failure,12,7,2016-11-29 16:19:05 -0700,2017-01-03 14:35:41 -0700,0:00:00
drdrdt,Success,12,0,2016-11-29 16:18:04 -0700,2016-11-29 16:41:14 -0700,0:00:01
Fldr1/Untitled1,Success,3,0,2016-11-17 13:06:11 -0700,2016-11-22 11:49:28 -0700,0:00:00
Fldr1/subfolder2/Untitled,Failure,1,1,2016-12-09 10:57:04 -0700,2016-12-09 10:57:04 -0700,0:00:00
ggh/Untitled,Success,7,0,2016-11-28 08:51:31 -0700,2016-12-06 12:28:15 -0700,0:00:00
Fldr1/Hello,Success,2,0,2016-11-16 23:29:52 -0700,2016-11-16 23:30:02 -0700,0:00:00
Untitled4,Success,6,0,2016-12-30 15:30:48 -0700,2016-12-30 15:31:37 -0700,0:00:01
hjhjh,Success,2,0,2016-11-29 16:00:55 -0700,2016-11-29 16:07:59 -0700,0:00:00
