Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2016-12-21 14:26:16.040 -0700,"Success",0:00:00,0,0,0,"20161221_142616.040/LogFile.txt","","",1
2016-12-21 14:26:59.647 -0700,"Success",0:00:00,0,0,0,"20161221_142659.647/LogFile.txt","","",1
2016-12-21 14:28:42.006 -0700,"Failure",0:00:00,1,0,0,"20161221_142842.006/LogFile.txt","","SRUN_BadValue -- Bad value for Object expression.  Looking for an object or script identifier, got '~/Documents/FindFunctTest.suite/Scripts/Untitled2.script'.",0
2016-12-21 14:29:20.564 -0700,"Success",0:00:00,0,0,0,"20161221_142920.564/LogFile.txt","","",1
2016-12-21 14:29:32.686 -0700,"Success",0:00:00,0,0,0,"20161221_142932.686/LogFile.txt","","",1
2016-12-21 14:29:46.000 -0700,"Failure",0:00:00,1,0,0,"20161221_142946.000/LogFile.txt","","SRUN_BadValue -- Bad value for Object expression.  Looking for an object or script identifier, got '../Documents/FindFunctTest.suite/Scripts/Untitled2.script'.",0
2016-12-21 14:30:13.224 -0700,"Failure",0:00:00,1,0,0,"20161221_143013.224/LogFile.txt","","SRUN_BadValue -- Bad value for Object expression.  Looking for an object or script identifier, got './Documents/FindFunctTest.suite/Scripts/Untitled2.script'.",0
2016-12-21 14:30:26.689 -0700,"Failure",0:00:00,1,0,0,"20161221_143026.689/LogFile.txt","","SRUN_BadValue -- Bad value for Object expression.  Looking for an object or script identifier, got './FindFunctTest.suite/Scripts/Untitled2.script'.",0
2016-12-21 15:49:20.662 -0700,"Failure",0:00:00,1,0,0,"20161221_154920.662/LogFile.txt","","SRUN_BadValue -- Bad value for Object expression.  Looking for an object or script identifier, got './../Documents/FindFunctTest.suite/Scripts/Untitled2.script'.",0
2016-12-21 15:50:06.618 -0700,"Failure",0:00:00,1,0,0,"20161221_155006.618/LogFile.txt","","SRUN_BadValue -- Bad value for Object expression.  Looking for an object or script identifier, got '../../Documents/FindFunctTest.suite/Scripts/Untitled2.script'.",0
2016-12-21 15:50:33.424 -0700,"Failure",0:00:00,1,0,0,"20161221_155033.424/LogFile.txt","","SRUN_BadValue -- Bad value for Object expression.  Looking for an object or script identifier, got '../../Documents/FindFunctTest.suite/Scripts/Untitled2.script'.",0
2016-12-21 15:50:53.581 -0700,"Success",0:00:00,0,0,0,"20161221_155053.581/LogFile.txt","","",1
2016-12-21 15:51:16.350 -0700,"Failure",0:00:00,1,0,0,"20161221_155116.350/LogFile.txt","","SRUN_BadValue -- Bad value for Object expression.  Looking for an object or script identifier, got '../../Documents/FindFunctTest.suite/Scripts/Untitled2.script'.",0
2016-12-30 15:30:48.434 -0700,"Success",0:00:01,0,0,0,"20161230_153048.434/LogFile.txt","","",1
2016-12-30 15:30:55.770 -0700,"Success",0:00:01,0,0,0,"20161230_153055.770/LogFile.txt","","",1
2016-12-30 15:31:01.197 -0700,"Success",0:00:01,0,0,0,"20161230_153101.197/LogFile.txt","","",1
2016-12-30 15:31:13.448 -0700,"Success",0:00:01,0,0,0,"20161230_153113.448/LogFile.txt","","",1
2016-12-30 15:31:19.301 -0700,"Success",0:00:01,0,0,0,"20161230_153119.301/LogFile.txt","","",1
2016-12-30 15:31:37.327 -0700,"Success",0:00:01,0,0,0,"20161230_153137.327/LogFile.txt","","",1
