2016-12-15 12:38:31.649 -0700	START		Running Untitled5.script
2016-12-15 12:38:32.178 -0700	connect		10.1.11.186:(null)	1	on_untitled5	Untitled5.script
2016-12-15 12:38:32.194 -0700	moveto		at (200, 200)	5	on_untitled5	Untitled5.script
2016-12-15 12:38:32.195 -0700	Log		that took 0.013252 seconds	6	on_untitled5	Untitled5.script
2016-12-15 12:38:32.906 -0700	moveto		at (144, 9)	7	on_untitled5	Untitled5.script
2016-12-15 12:38:33.622 -0700	moveto		at (187, 9)	8	on_untitled5	Untitled5.script
2016-12-15 12:38:34.338 -0700	moveto		at (200, 200)	5	on_untitled5	Untitled5.script
2016-12-15 12:38:34.338 -0700	Log		that took 0.715421 seconds	6	on_untitled5	Untitled5.script
2016-12-15 12:38:35.054 -0700	moveto		at (144, 9)	7	on_untitled5	Untitled5.script
2016-12-15 12:38:35.769 -0700	moveto		at (187, 9)	8	on_untitled5	Untitled5.script
2016-12-15 12:38:36.482 -0700	moveto		at (200, 200)	5	on_untitled5	Untitled5.script
2016-12-15 12:38:36.483 -0700	Log		that took 0.7127 seconds	6	on_untitled5	Untitled5.script
2016-12-15 12:38:37.196 -0700	moveto		at (144, 9)	7	on_untitled5	Untitled5.script
2016-12-15 12:38:37.910 -0700	moveto		at (187, 9)	8	on_untitled5	Untitled5.script
2016-12-15 12:38:38.623 -0700	moveto		at (200, 200)	5	on_untitled5	Untitled5.script
2016-12-15 12:38:38.623 -0700	Log		that took 0.712226 seconds	6	on_untitled5	Untitled5.script
2016-12-15 12:38:39.336 -0700	moveto		at (144, 9)	7	on_untitled5	Untitled5.script
2016-12-15 12:38:40.051 -0700	moveto		at (187, 9)	8	on_untitled5	Untitled5.script
2016-12-15 12:38:40.764 -0700	moveto		at (200, 200)	5	on_untitled5	Untitled5.script
2016-12-15 12:38:40.765 -0700	Log		that took 0.712553 seconds	6	on_untitled5	Untitled5.script
2016-12-15 12:38:41.477 -0700	moveto		at (144, 9)	7	on_untitled5	Untitled5.script
2016-12-15 12:38:42.192 -0700	moveto		at (187, 9)	8	on_untitled5	Untitled5.script
2016-12-15 12:38:42.908 -0700	moveto		at (200, 200)	5	on_untitled5	Untitled5.script
2016-12-15 12:38:42.909 -0700	Log		that took 0.715447 seconds	6	on_untitled5	Untitled5.script
2016-12-15 12:38:43.622 -0700	moveto		at (144, 9)	7	on_untitled5	Untitled5.script
2016-12-15 12:38:44.334 -0700	moveto		at (187, 9)	8	on_untitled5	Untitled5.script
2016-12-15 12:38:45.049 -0700	moveto		at (200, 200)	5	on_untitled5	Untitled5.script
2016-12-15 12:38:45.050 -0700	Log		that took 0.715036 seconds	6	on_untitled5	Untitled5.script
2016-12-15 12:38:45.766 -0700	moveto		at (144, 9)	7	on_untitled5	Untitled5.script
2016-12-15 12:38:46.477 -0700	moveto		at (187, 9)	8	on_untitled5	Untitled5.script
