Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2017-02-09 09:09:16.782 -0700,"Success",0:00:03,0,0,0,"20170209_090916.782/LogFile.txt","","",1
2017-02-09 09:55:57.913 -0700,"Success",0:00:02,0,0,0,"20170209_095557.913/LogFile.txt","","",1
2017-02-09 09:56:41.966 -0700,"Success",0:00:03,0,0,0,"20170209_095641.966/LogFile.txt","","",1
2017-02-09 09:57:07.576 -0700,"Success",0:00:04,0,0,0,"20170209_095707.576/LogFile.txt","","",1
2017-02-09 09:57:22.600 -0700,"Success",0:00:04,0,0,0,"20170209_095722.600/LogFile.txt","","",1
2017-02-09 09:59:15.884 -0700,"Success",0:00:04,0,0,0,"20170209_095915.884/LogFile.txt","","",1
2017-02-09 10:01:15.629 -0700,"Success",0:00:05,0,0,0,"20170209_100115.629/LogFile.txt","","",1
2017-02-09 10:09:06.725 -0700,"Success",0:00:06,0,0,0,"20170209_100906.725/LogFile.txt","","",1
2017-02-09 10:14:03.784 -0700,"Success",0:00:07,0,0,0,"20170209_101403.784/LogFile.txt","","",1
2017-02-09 10:17:25.387 -0700,"Success",0:00:08,0,0,0,"20170209_101725.387/LogFile.txt","","",1
2017-02-09 10:21:49.599 -0700,"Success",0:00:08,0,0,0,"20170209_102149.599/LogFile.txt","","",1
2017-02-09 10:24:00.676 -0700,"Success",0:00:08,0,0,0,"20170209_102400.676/LogFile.txt","","",1
2017-02-09 10:24:51.552 -0700,"Success",0:00:08,0,0,0,"20170209_102451.552/LogFile.txt","","",1
2017-02-09 10:58:51.335 -0700,"Success",0:00:06,0,0,0,"20170209_105851.335/LogFile.txt","","",1
2017-02-09 10:59:47.168 -0700,"Success",0:00:06,0,0,0,"20170209_105947.168/LogFile.txt","","",1
2017-02-09 11:27:15.344 -0700,"Success",0:00:06,0,0,0,"20170209_112715.344/LogFile.txt","","",1
2017-02-09 11:40:01.709 -0700,"Success",0:00:06,0,0,0,"20170209_114001.709/LogFile.txt","","",1
2017-02-09 11:40:21.050 -0700,"Success",0:00:06,0,0,0,"20170209_114021.050/LogFile.txt","","",1
2017-02-09 11:41:08.080 -0700,"Success",0:00:06,0,0,0,"20170209_114108.080/LogFile.txt","","",1
2017-02-09 11:41:48.843 -0700,"Success",0:00:05,0,0,0,"20170209_114148.843/LogFile.txt","","",1
2017-02-09 11:41:58.438 -0700,"Success",0:00:05,0,0,0,"20170209_114158.438/LogFile.txt","","",1
2017-02-09 11:53:41.785 -0700,"Success",0:00:05,0,0,0,"20170209_115341.785/LogFile.txt","","",1
2017-02-09 11:54:14.818 -0700,"Success",0:00:05,0,0,0,"20170209_115414.818/LogFile.txt","","",1
