Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2016-10-24 12:13:14.672 -0600,"Success",0:00:07,0,0,0,"20161024_121314.672/LogFile.txt","","",1
2016-10-24 12:13:26.599 -0600,"Success",0:00:06,0,0,0,"20161024_121326.599/LogFile.txt","","",1
2016-10-24 12:14:10.631 -0600,"Success",0:00:06,0,0,0,"20161024_121410.631/LogFile.txt","","",1
2016-10-24 13:29:24.126 -0600,"Running",0:00:00,0,0,0,"20161024_132924.126/LogFile.txt","","",0
2016-10-24 13:29:56.396 -0600,"Running",0:00:00,0,0,0,"20161024_132956.396/LogFile.txt","","",0
2016-10-24 13:30:22.247 -0600,"Running",0:00:00,0,0,0,"20161024_133022.247/LogFile.txt","","",0
2016-10-24 13:32:50.105 -0600,"Success",0:00:07,0,0,0,"20161024_133250.105/LogFile.txt","","",1
2016-10-24 13:33:08.631 -0600,"Success",0:00:07,0,0,0,"20161024_133308.631/LogFile.txt","","",1
2016-10-24 13:33:39.493 -0600,"Success",0:00:07,0,0,0,"20161024_133339.493/LogFile.txt","","",1
2016-10-24 13:34:31.577 -0600,"Success",0:00:07,0,0,0,"20161024_133431.577/LogFile.txt","","",1
2016-10-24 13:35:00.302 -0600,"Success",0:00:07,0,0,0,"20161024_133500.302/LogFile.txt","","",1
2016-10-24 13:36:35.900 -0600,"Success",0:00:07,0,0,0,"20161024_133635.900/LogFile.txt","","",1
2016-10-24 13:36:56.803 -0600,"Success",0:00:07,0,0,0,"20161024_133656.803/LogFile.txt","","",1
2016-10-24 13:37:21.134 -0600,"Success",0:00:07,0,0,0,"20161024_133721.134/LogFile.txt","","",1
2016-10-24 13:37:48.040 -0600,"Success",0:00:07,0,0,0,"20161024_133748.040/LogFile.txt","","",1
2016-10-24 13:38:52.323 -0600,"Success",0:00:07,0,0,0,"20161024_133852.323/LogFile.txt","","",1
2016-10-24 13:39:27.885 -0600,"Success",0:00:07,0,0,0,"20161024_133927.885/LogFile.txt","","",1
2016-10-25 14:10:15.359 -0600,"Running",0:00:00,0,0,0,"20161025_141015.359/LogFile.txt","","",0
2016-10-25 14:11:04.257 -0600,"Running",0:00:00,0,0,0,"20161025_141104.257/LogFile.txt","","",0
2016-10-25 14:12:06.158 -0600,"Running",0:00:00,0,0,0,"20161025_141206.158/LogFile.txt","","",0
2016-10-25 14:12:57.426 -0600,"Running",0:00:00,0,0,0,"20161025_141257.426/LogFile.txt","","",0
2016-10-25 14:13:23.879 -0600,"Success",0:02:12,0,0,0,"20161025_141323.879/LogFile.txt","","",1
2016-10-25 14:15:41.976 -0600,"Success",0:00:08,0,0,0,"20161025_141541.976/LogFile.txt","","",1
2016-10-25 14:16:04.691 -0600,"Success",0:00:08,0,0,0,"20161025_141604.691/LogFile.txt","","",1
2016-10-28 14:57:33.494 -0600,"Running",0:00:00,0,0,0,"20161028_145733.494/LogFile.txt","","",0
2016-10-28 14:57:52.053 -0600,"Running",0:00:00,0,0,0,"20161028_145752.053/LogFile.txt","","",0
2016-10-28 14:58:14.557 -0600,"Success",0:00:03,0,0,0,"20161028_145814.557/LogFile.txt","","",1
2016-10-28 14:59:10.628 -0600,"Success",0:00:03,0,0,0,"20161028_145910.628/LogFile.txt","","",1
