Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2017-01-18 09:20:08.844 -0700,"Failure",0:00:01,1,0,0,"20170118_092008.844/LogFile.txt","","STUnknownMessage -- ERROR: No Such Function: 'workbook'",0
2017-01-18 09:20:27.524 -0700,"Failure",0:00:01,1,0,0,"20170118_092027.524/LogFile.txt","","STUnknownMessage -- ERROR: No Such Function: 'workbook'",0
2017-01-18 09:21:56.885 -0700,"Failure",0:00:01,1,0,0,"20170118_092156.885/LogFile.txt","","STUnknownMessage -- ERROR: No Such Function: 'workbook'",0
2017-01-18 09:22:28.527 -0700,"Failure",0:00:01,1,0,0,"20170118_092228.527/LogFile.txt","","STUnknownMessage -- ERROR: No Such Function: 'workbook'",0
2017-01-18 09:22:54.698 -0700,"Failure",0:00:01,1,0,0,"20170118_092254.698/LogFile.txt","","STUnknownMessage -- ERROR: No Such Function: 'workbook'",0
2017-01-18 09:23:06.311 -0700,"Failure",0:00:01,1,0,0,"20170118_092306.311/LogFile.txt","","STUnknownMessage -- ERROR: No Such Function: 'workbook'",0
2017-01-18 09:23:54.859 -0700,"Failure",0:00:01,1,0,0,"20170118_092354.859/LogFile.txt","","STUnknownMessage -- ERROR: No Such Function: 'workbook'",0
2017-01-18 09:24:35.161 -0700,"Failure",0:00:01,1,0,0,"20170118_092435.161/LogFile.txt","","STUnknownMessage -- ERROR: No Such Function: 'workbook'",0
2017-01-18 09:27:27.418 -0700,"Failure",0:00:01,1,0,0,"20170118_092727.418/LogFile.txt","","STUnknownMessage -- ERROR: No Such Function: 'workbook'",0
2017-01-18 09:46:02.947 -0700,"Failure",0:00:01,1,0,0,"20170118_094602.947/LogFile.txt","","STUnknownMessage -- ERROR: No Such Function: 'workbook'",0
2017-01-18 11:15:47.069 -0700,"Failure",0:00:01,1,0,0,"20170118_111547.069/LogFile.txt","","STUnknownMessage -- ERROR: No Such Function: 'workbook'",0
2017-01-18 11:22:27.878 -0700,"Failure",0:00:01,1,0,0,"20170118_112227.878/LogFile.txt","","STUnknownMessage -- ERROR: No Such Function: 'workbook'",0
2017-01-18 13:42:02.110 -0700,"Failure",0:00:01,1,0,0,"20170118_134202.110/LogFile.txt","","STUnknownMessage -- ERROR: No Such Function: 'workbook'",0
2017-01-18 16:29:12.276 -0700,"Failure",0:00:01,1,0,0,"20170118_162912.276/LogFile.txt","","Workbook Error -- Error loading workbook /Users/reenakuni/Documents/Customer1.xlsx: std::exception",0
2017-01-18 16:31:56.984 -0700,"Success",0:00:01,0,0,0,"20170118_163156.984/LogFile.txt","","",1
2017-01-18 16:34:21.268 -0700,"Failure",0:00:01,1,0,0,"20170118_163421.268/LogFile.txt","","Workbook Error -- Worksheet CustomerNew doesn't exist",0
2017-01-18 16:38:50.178 -0700,"Failure",0:00:01,1,0,0,"20170118_163850.178/LogFile.txt","","Workbook Error -- Worksheet Name doesn't exist",0
2017-01-18 16:39:27.520 -0700,"Failure",0:00:01,1,0,0,"20170118_163927.520/LogFile.txt","","STInvalidParameters -- Function worksheet was called with invalid parameters",0
2017-01-18 16:40:39.403 -0700,"Failure",0:00:01,1,0,0,"20170118_164039.403/LogFile.txt","","STInvalidParameters -- Function worksheet was called with invalid parameters",0
2017-01-18 16:40:58.902 -0700,"Failure",0:00:01,1,0,0,"20170118_164058.902/LogFile.txt","","Workbook Error -- Worksheet Balance doesn't exist",0
2017-01-18 16:41:49.897 -0700,"Failure",0:00:01,1,0,0,"20170118_164149.897/LogFile.txt","","Workbook Error -- Worksheet Balance doesn't exist",0
2017-01-18 16:42:43.635 -0700,"Failure",0:00:01,1,0,0,"20170118_164243.635/LogFile.txt","","Worksheet Error -- Cell() requires a worksheet to read from (got: custSheet)",0
2017-01-18 16:43:11.334 -0700,"Failure",0:00:01,1,0,0,"20170118_164311.334/LogFile.txt","","Workbook Error -- Worksheet Balance doesn't exist",0
2017-01-18 16:44:40.482 -0700,"Failure",0:00:01,1,0,0,"20170118_164440.482/LogFile.txt","","Workbook Error -- Worksheet Balance doesn't exist",0
2017-01-18 16:45:57.489 -0700,"Success",0:00:01,0,0,0,"20170118_164557.489/LogFile.txt","","",1
