Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2016-10-24 13:56:57.108 -0600,"Success",0:00:05,0,0,0,"20161024_135657.108/LogFile.txt","","",1
2016-10-24 13:57:55.032 -0600,"Success",0:00:03,0,0,0,"20161024_135755.032/LogFile.txt","","",1
2016-10-24 13:58:17.512 -0600,"Success",0:00:03,0,0,0,"20161024_135817.512/LogFile.txt","","",1
2016-10-24 13:58:58.517 -0600,"Success",0:00:03,0,0,0,"20161024_135858.517/LogFile.txt","","",1
2016-10-24 13:59:29.580 -0600,"Success",0:00:03,0,0,0,"20161024_135929.580/LogFile.txt","","",1
2016-10-24 13:59:35.413 -0600,"Success",0:00:03,0,0,0,"20161024_135935.413/LogFile.txt","","",1
2016-10-25 10:42:11.052 -0600,"Success",0:00:01,0,0,0,"20161025_104211.052/LogFile.txt","","",1
2016-10-25 10:44:12.684 -0600,"Running",0:00:00,0,0,0,"20161025_104412.684/LogFile.txt","","",0
2016-10-25 10:44:25.678 -0600,"Success",0:00:03,0,0,0,"20161025_104425.678/LogFile.txt","","",1
2016-10-25 10:44:41.455 -0600,"Success",0:00:02,0,0,0,"20161025_104441.455/LogFile.txt","","",1
2016-10-25 10:46:08.538 -0600,"Success",0:00:02,0,0,0,"20161025_104608.538/LogFile.txt","","",1
2016-10-25 10:47:44.762 -0600,"Success",0:00:29,0,0,0,"20161025_104744.762/LogFile.txt","","",1
2016-10-25 10:51:35.894 -0600,"Success",0:00:02,0,0,0,"20161025_105135.894/LogFile.txt","","",1
2016-10-25 10:52:01.893 -0600,"Success",0:00:02,0,0,0,"20161025_105201.893/LogFile.txt","","",1
2016-10-25 10:52:13.902 -0600,"Success",0:00:02,0,0,0,"20161025_105213.902/LogFile.txt","","",1
2016-10-25 10:52:49.263 -0600,"Success",0:00:02,0,0,0,"20161025_105249.263/LogFile.txt","","",1
2016-10-25 10:53:23.520 -0600,"Success",0:00:02,0,0,0,"20161025_105323.520/LogFile.txt","","",1
2016-10-25 10:53:56.003 -0600,"Success",0:00:02,0,0,0,"20161025_105356.003/LogFile.txt","","",1
2016-10-25 10:54:20.018 -0600,"Success",0:00:02,0,0,0,"20161025_105420.018/LogFile.txt","","",1
2016-10-25 10:54:45.238 -0600,"Running",0:00:00,0,0,0,"20161025_105445.238/LogFile.txt","","",0
2016-10-25 10:55:27.906 -0600,"Success",0:00:02,0,0,0,"20161025_105527.906/LogFile.txt","","",1
2016-10-25 10:56:18.782 -0600,"Success",0:00:02,0,0,0,"20161025_105618.782/LogFile.txt","","",1
2016-10-25 10:57:03.850 -0600,"Success",0:00:41,0,0,0,"20161025_105703.850/LogFile.txt","","",1
2016-10-25 10:58:19.153 -0600,"Success",0:00:02,0,0,0,"20161025_105819.153/LogFile.txt","","",1
2016-10-25 15:09:18.158 -0600,"Success",0:00:03,0,0,0,"20161025_150918.158/LogFile.txt","","",1
2016-10-25 15:09:50.369 -0600,"Success",0:00:39,0,0,0,"20161025_150950.369/LogFile.txt","","",1
2016-10-31 10:59:44.000 -0600,"Failure",0:00:01,1,0,1,"20161031_105944.000/LogFile.txt","","No Remote Connection -- click Error - Remote Connection Unavailable",0
2016-10-31 11:01:36.948 -0600,"Failure",0:00:01,1,0,1,"20161031_110136.948/LogFile.txt","","No Remote Connection -- click Error - Remote Connection Unavailable",0
