Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2016-10-26 15:55:55.682 -0600,"Success",0:00:02,0,0,0,"20161026_155555.682/LogFile.txt","","",1
2016-10-26 15:57:33.461 -0600,"Running",0:00:00,0,0,0,"20161026_155733.461/LogFile.txt","","",0
2016-10-26 15:57:56.021 -0600,"Success",0:00:01,0,0,0,"20161026_155756.021/LogFile.txt","","",1
2016-10-26 15:58:19.989 -0600,"Running",0:00:00,0,0,0,"20161026_155819.989/LogFile.txt","","",0
2016-10-26 15:58:49.097 -0600,"Success",0:00:03,0,0,0,"20161026_155849.097/LogFile.txt","","",1
2016-10-26 15:59:06.607 -0600,"Success",0:00:02,0,0,0,"20161026_155906.607/LogFile.txt","","",1
2016-10-26 16:02:06.661 -0600,"Failure",0:00:42,1,0,1,"20161026_160206.661/LogFile.txt","","Image Not Found -- click Error - No Image Found On Screen: ""Newissue""",0
2016-10-26 16:05:49.077 -0600,"Success",0:00:03,0,0,0,"20161026_160549.077/LogFile.txt","","",1
2016-10-26 16:09:01.297 -0600,"Success",0:00:02,0,0,0,"20161026_160901.297/LogFile.txt","","",1
2016-10-26 16:11:15.461 -0600,"Running",0:00:00,0,0,0,"20161026_161115.461/LogFile.txt","","",0
2016-10-26 16:12:39.012 -0600,"Running",0:00:00,0,0,0,"20161026_161239.012/LogFile.txt","","",0
2016-10-26 16:13:56.231 -0600,"Failure",0:00:28,1,0,1,"20161026_161356.231/LogFile.txt","","Image Not Found -- click Error - No Image Found On Screen: ""Newissue""",0
