Script,Last Status,Runs,Fails,First Run,Last Run,Avg Time(Success)
Sfoldertest1/Untitled,Success,1,0,2016-11-01 09:19:09 -0600,2016-11-01 09:19:09 -0600,0:00:03
2048M,Failure,35,3,2016-10-24 11:06:31 -0600,2016-10-31 11:01:36 -0600,0:00:07
2048M1,Success,2,0,2016-10-24 11:47:00 -0600,2016-10-25 14:35:28 -0600,0:00:02
Sb15,Success,1,0,2016-10-31 11:35:35 -0600,2016-10-31 11:35:35 -0600,0:00:02
Year,Success,3,0,2016-10-27 11:29:08 -0600,2016-10-27 11:30:39 -0600,0:00:14
Next,Success,9,0,2016-10-27 11:08:50 -0600,2016-10-31 14:07:03 -0600,0:00:03
Sb1,Success,2,0,2016-10-31 11:37:31 -0600,2016-10-31 11:37:55 -0600,0:00:10
ButtonwithText,Failure,8,2,2016-10-26 15:55:55 -0600,2016-10-26 16:13:56 -0600,0:00:02
Google,Success,7,0,2016-10-25 15:07:20 -0600,2016-10-25 15:11:21 -0600,0:00:06
Return,Failure,4,2,2016-10-27 11:35:57 -0600,2016-10-31 11:10:55 -0600,0:00:07
