Script,Last Status,Runs,Fails,First Run,Last Run,Avg Time(Success)
Tab1,Success,1,0,2016-10-20 10:33:46 -0600,2016-10-20 10:33:46 -0600,0:00:02
HelperSubfolder/featureStep,Success,1,0,2016-11-14 14:27:57 -0700,2016-11-14 14:27:57 -0700,0:00:00
Helper2,Failure,12,1,2016-10-18 10:19:04 -0600,2016-11-14 14:30:08 -0700,0:00:00
HelperSubfolder/handlerscript,Success,1,0,2016-10-18 12:25:43 -0600,2016-10-18 12:25:43 -0600,0:00:00
HelperScript,Success,18,2,2016-10-18 09:59:38 -0600,2016-10-20 11:55:48 -0600,0:00:01
AccessibilityDemo (2),Success,5,1,2016-10-19 09:34:59 -0600,2016-10-28 16:17:50 -0600,0:00:01
HelperSubfolder/Scp1,Success,15,0,2016-10-18 10:45:48 -0600,2016-10-20 12:02:48 -0600,0:00:01
Untitled,Success,5,3,2016-10-20 11:48:58 -0600,2016-10-20 14:00:02 -0600,0:00:01
s1,Success,6,0,2016-10-20 11:48:44 -0600,2016-10-24 13:58:38 -0600,0:00:01
HelperSubfolder/Sc2,Failure,16,1,2016-10-18 10:45:47 -0600,2016-11-14 14:28:10 -0700,0:00:01
HelperSubfolder/subs1,Success,2,0,2016-10-20 10:15:16 -0600,2016-11-14 14:28:17 -0700,0:00:00
HelperSubfolder/callhandlerscript,Success,7,4,2016-10-18 12:17:22 -0600,2016-10-18 12:19:21 -0600,0:00:00
Helperf1,Success,5,0,2016-10-20 10:45:48 -0600,2016-10-20 12:19:03 -0600,0:00:00
